"","word","count","mean","sd","skew","kurt","corr"
"2161","attractive",10,834.7,207.015860906035,0.861026602298321,-0.881008735750997,-0.990223831614805
"11584","photocurrent",9,1506,816.000459558694,1.6144479516805,1.3960318632403,-0.989267259159238
"5450","efficient",10,426.6,222.803451000602,0.815840528530772,-0.959923654046089,-0.98629025654847
"15950","tune",9,2071.44444444444,691.826949300024,0.889022091085568,-0.0504347331016315,-0.982702476947779
"3591","combining",10,1501.5,523.569002138209,0.95075165828021,-0.756040288412499,-0.982446708869448
"1901","applications",10,39.9,21.32525888862,1.08210659020102,-0.582179398764579,-0.981826611551146
"1301","achieve",10,551.7,196.013633312697,0.700759687896611,-1.10761864310078,-0.981585620387292
"4011","conversion",10,505.8,383.205137984576,0.956751155113349,-0.793527578533857,-0.980510773382928
"25743","opvs",7,4872.85714285714,2252.6906451746,0.38108426816189,-1.40151349302606,-0.980025728666791
"5660","enable",10,961.7,378.774940506306,0.724604946034024,-0.79069108765162,-0.979247872806264
"7287","herein",9,2681,1333.87396331138,1.41210577787388,0.78397626046094,-0.979087898421475
"15949","tunable",9,1163.33333333333,586.891386885172,1.64633896079675,1.5238716499841,-0.978647580842026
"5623","emerged",9,2727.33333333333,846.696374150734,1.02714296730689,0.0315037570390628,-0.976381808826107
"15710","towards",10,680.3,225.878064450712,0.869653892508671,-0.525725086000764,-0.969636453029246
"5542","electronics",10,704.3,313.481897403981,0.887649759844337,-0.855272817376509,-0.969172918011227
"1205","absorber",9,2273.11111111111,2169.91816922001,1.77127223510824,1.82327815258214,-0.968886781775126
"10879","opportunities",10,2525.7,1308.54109178462,1.058601775493,-0.614113721472826,-0.967584081827474
"10909","optoelectronic",10,1194.3,443.970231734817,0.6082753773877,-0.80254270065514,-0.966322733873767
"6759","functionalities",9,2439.55555555556,1089.19053786644,1.69851774281747,1.66755011494625,-0.966293127067284
"12490","pto",7,6403.14285714286,4016.12825278989,1.41032751436022,0.379794329472346,-0.964962594734067
"10673","nps",9,1328.88888888889,1535.19521921843,1.88264813559632,2.10568286071242,-0.964239148160145
"8539","key",10,529.8,198.39231615945,1.03437683157639,-0.463214018124476,-0.963918096392622
"13101","renewable",9,2883.55555555556,2594.49961992246,1.68472863664721,1.54947744341277,-0.963729120401702
"4792","dft",10,1652.7,1234.60016469571,1.15056680885965,-0.544855521227297,-0.963640407808691
"3725","comprising",9,2980.33333333333,1100.99023610566,1.58387439151375,1.31430206494233,-0.961557803360084
"5449","efficiency",10,138.8,96.8685248732069,1.11708482117412,-0.499940096586979,-0.961420977275895
"13419","robust",10,1690.3,777.063854090083,1.03969470253863,-0.653212794428117,-0.960309337524207
"10348","nature",10,283.9,96.4496990376043,0.966961979818968,-0.437252576333722,-0.960301141449897
